,type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
149,GHB,최음제,2022-11-13 16:03:48+00:00,1.59182e+18,wndus5853,충주 교현동,,충주시,"? 텔 레 i c e m a n k ?
아이스작대기 샘플0.2G 20만
사칭조심

 브액

작대기팝니다 
브액
브액

떨 엑스터시 떨사는곳 
최음제

캔디케이 떨 파티약 
강남파티

작대기주사 ㅇㅇㅅ팝니다

#아이스
#안전딜러 https://t.co/07IGv7dWY1",0,0,,"['아이스', '안전딜러']","[Photo(previewUrl='https://pbs.twimg.com/media/FhdLnp7agAMylGA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhdLnp7agAMylGA?format=jpg&name=orig', altText=None)]",Twitter Web App
150,GHB,최음제,2022-11-13 16:10:03+00:00,1.59183e+18,oiptyur,이수진,,,"☎ 텔 레 그 램 J R i c e 1 ?

?아이스작대기 무한☎

ㅂㄷ 대구아이스 케타민반응
LSD 차가운술 샘플20만 아이스술

 최음제 떨후기 

  액상구입 

 아이스술 술사는곳 사끼

필로폰파는곳 떨삽니다  BD주사기 떨사는곳 

#아이스작대기 https://t.co/qOyGbiVsHi",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhdNC-daUAAc-on?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhdNC-daUAAc-on?format=jpg&name=orig', altText=None)]",Twitter Web App
151,GHB,최음제,2022-11-14 02:03:40+00:00,1.59198e+18,eh2177,박은하,,"대한민국(남양주시, 도봉구)","텔 레 i c e p i c k s

? 아이스픽2 ?
샘플 20만 아이스작대기

ㅅㄲ 술구매 제주아이스
부부만남

최음제 클럽파티 떨삽니다
 케이 파티약

작대기팝니다 케타민
액상 아이스작대기
허브액상 작대기

☎ #아이스작대기 ?
? #케이 ? https://t.co/iMHnXPOFyK",0,0,,"['아이스작대기', '케이']","[Photo(previewUrl='https://pbs.twimg.com/media/FhfU6vGagAUMUeQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhfU6vGagAUMUeQ?format=jpg&name=orig', altText=None)]",Twitter Web App
152,GHB,최음제,2022-11-14 02:15:34+00:00,1.59198e+18,wup0312,웃긴다진짜,,,"? #작대기판매  ?
? #최음제  ?
? #아이스작대기 ?

여러분에 안식처 하이븐

?텔 레 문 의 i c e haven ?

아이스가격아이스샘플아이스선드랍 후리베이스 엑스터시효능
술의효능 전국떨

떨가격 떨판매 대마
 떨후기 대마

브액 케타민
액상 케타민
액상
아이스작대기 허브 https://t.co/RjiLZ2QKJU",0,0,,"['작대기판매', '최음제', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FhfXo5MakAAvyob?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhfXo5MakAAvyob?format=jpg&name=orig', altText=None)]",Twitter Web App
153,GHB,최음제,2022-11-14 11:30:30+00:00,1.59212e+18,tjdtn30,김성수,,,"? #작대기아이스  ?
♣ #차가운술 ♥

여러분에 안식처 하이븐

?텔 레 문 의 i c e haven ?

아이스판매처 엑스터시효능 아이스게이
빙두판매처 작대기퀄리티

떨구매 떨구매 최음제
 사티바 떨후기

작대기 샘플20만 아이스팝니다
대마 아이스작대기 https://t.co/EV1NgExn5u",0,0,,"['작대기아이스', '차가운술']","[Photo(previewUrl='https://pbs.twimg.com/media/FhhWpy2UcAEIhQC?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhhWpy2UcAEIhQC?format=jpg&name=orig', altText=None)]",Twitter Web App
154,GHB,최음제,2022-11-14 11:36:59+00:00,1.59212e+18,lwh8011,lwh80+,,,"♣ #아이스술  ?
? #아이스작대기 ?

여러분에 안식처 하이븐

♠텔 레 문 의 i c e haven ↔

정품아이스파는곳소개 작대기퀄리티 캔디판매처
후리베이스 전국빠른구매

떨구입 떨느낌 최음제
 엑시 파티약

허브 케타민
액상 허브
아이스팝니다 아이스 https://t.co/UG3etuUIzF",0,0,,"['아이스술', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FhhYIwEaUAMmGpu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhhYIwEaUAMmGpu?format=jpg&name=orig', altText=None)]",Twitter Web App
155,GHB,최음제,2022-11-14 14:07:05+00:00,1.59216e+18,Cool2256,박문수,,,"? 텔 레 그 램 J R i c e 1 ?

?아이스작대기 사끼?

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

강간데이트아이스얼음주사사용방법

액상사는곳 최음제 
떨후기

아이스1G 작대기 아이스샘플20만 

#아이스작대기 https://t.co/6xTa2wyH2H",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fhh6fhjagAAp4-G?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fhh6fhjagAAp4-G?format=jpg&name=orig', altText=None)]",Twitter Web App
156,GHB,최음제,2022-11-14 14:22:41+00:00,1.59216e+18,himiyodde,이현석,,대한민국 울산,"텔 레 i c e p i c k s

? 아이스픽2 ?
샘플 20만 아이스작대기

마약상인 정품작대기 서울아이스
광주아이스

강남파티 떨느낌 
 최음제 케이

떨 작대기 차가운술
차가운술 

#아이스 https://t.co/mGf4NNFUzB",0,0,,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fhh-ELPUUAAxDAd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fhh-ELPUUAAxDAd?format=jpg&name=orig', altText=None)]",Twitter Web App
157,GHB,최음제,2022-11-15 02:30:21+00:00,1.59234e+18,Chdzony,Chd,,,"? #아이스술  ?
? #아이스작대기 ♠

여러분에 안식처 하이븐

?텔 레 문 의 i c e haven ?

아이스효능직빵 술구매 마약효과
서울아이스 
시원한술파는곳

최음제 사티바 클럽약
 떨팝니다 케타민

차가운술 샘플20만 아이스
아이스 https://t.co/L62cf3wiDT",0,0,,"['아이스술', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FhkknUyagAEV3OZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhkknUyagAEV3OZ?format=jpg&name=orig', altText=None)]",Twitter Web App
158,GHB,최음제,2022-11-15 02:31:00+00:00,1.59234e+18,play9294,한연빈,,,"? 텔? 레 ? 문↔ 의 ?

Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

차가운술파는곳 ㅈㄷㄱㅇㄹ 인슐린주사기 
인잭하는법 대구아이스 
크리스탈아이스

떨후기 떨삽니다 최음제 
인디카 떨구입 

작대기팝니다 작대기팝니다 
캔디케이 허브 브액 

#작대기후기 https://t.co/pGfy80reWB",0,0,,['작대기후기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fhkkw3qaAAETry7?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fhkkw3qaAAETry7?format=jpg&name=orig', altText=None)]",Twitter Web App
159,GHB,최음제,2022-11-15 02:58:49+00:00,1.59235e+18,vhddl1414,주아,,대한민국,"텔 레 i c e p i c k s

? 아이스픽2 ?
샘플 20만 아이스작대기

빙두팜 
시원한술파는곳 ㅅㄲ
작대기효능

클럽파티 캔디 최음제
 파티약 떨가격

아이스팝니다 차가운술 떨
허브 아이스샘플20만

? #사끼 ?
? #빙두 ? https://t.co/sNCqi7zomu",0,0,,"['사끼', '빙두']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1592351339304333312/pu/img/M-KiUFsBX8RU64Wn.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1592351339304333312/pu/pl/e7voMLkdAxKGV22F.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1592351339304333312/pu/vid/432x432/bIwlxHcOXd7jpn8w.mp4?tag=12', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1592351339304333312/pu/vid/320x320/YaIR3N--xNjnln2Z.mp4?tag=12', contentType='video/mp4', bitrate=432000)], duration=34.8, views=13, altText=None)]",Twitter Web App
160,GHB,최음제,2022-11-15 03:07:53+00:00,1.59235e+18,ghlwkd17,tnghwk12,,,"여러분에 안식처 아이스 하이븐 

?텔 레 문 의 i c e haven ?

작대기퀄리티 ㅈㄷㄱ팝니다 ㅈㄷㄱ팝니다

최음제 케이 사탕
떨느낌 인디카

작대기팝니다 아이스사끼 아이스뽕
아이스사끼 작대기팝니다

#아이스작대기 https://t.co/GLz7GfJUmU",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhktNHmaMAMp1pT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhktNHmaMAMp1pT?format=jpg&name=orig', altText=None)]",Twitter Web App
