date,id,user.username,place,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-29 18:44:51+00:00,1641149438910664704,fakhrul9012,,"☆ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충남브액  
강남인슐린  
삥두  
drug사는방법  
인천안전업체  
대마초도매  
  
#고퀄아이스구입방법 https://t.co/KVFlgIRMql",0,0,34.0,['고퀄아이스구입방법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaIsZgaIAAkZ4w?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaIsZgaIAAkZ4w?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 16:42:54+00:00,1641118747086958592,wpdls1020,,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

클럽캔디 삥두 마약상인 
마약상인 히로뽕 작대기구매는

케이 엑스터시 클럽약 
떨삽니다 떨파는곳 

아이스 작대기술 
캔디케이 빙두 아이스사끼 

#빙두
#사끼 https://t.co/dDca0Itbg0",0,0,16.0,"['빙두', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/FsZsyfgaEAASRSF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZsyfgaEAASRSF?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 14:52:29+00:00,1641090958891831298,dhdyddlrh,,"여러분에 안식처 아이스 하이븐 

☯텔 레 문 의 i c e haven ❣

아이스얼음주사사용방법 샤부 삥두

엑스터시 파티약 떨느낌
강남파티 담배

아이스1G 사끼 작대기
아이스드랍 차가운술

#작대기 https://t.co/vgvcUmxTvC",0,0,10.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZTg7FaEAARR0B?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZTg7FaEAARR0B?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 11:57:11+00:00,1641046843714080768,gs06373,,"여러분에 안식처 아이스 하이븐 

☄텔 레 문 의 i c e haven ☯

삥두 마약상인 아이스술

떨파는곳 강남파티 클럽파티
클럽파티 떨느낌

LSD 아이스1G 케이
아이스1G 아이스

#아이스작대기 https://t.co/ejRUlypqhx",0,0,14.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYrZGlaMAEovg9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYrZGlaMAEovg9?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 11:03:51+00:00,1641033420380729345,tprtmaofudnj,,"텔 레 i c e p i c k s

☝ 퀄리티승부 ☂
샘플 20만 아이스작대기

샤부 샤부 삥두
술파는곳

담배 떨후기 엑시
  캔디

작대기 엘에디 작대기뽕
차가운술 샘플20만

☣ #최음제 ♥ https://t.co/g0U8ZIfHWS",0,0,374.0,['최음제'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYfL37aYAgkGV5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYfL37aYAgkGV5?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 10:43:46+00:00,1641028367653933056,evelynwhisky,,"☎ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
전라도헤로인  
용인각성제  
뽕아이스구입하는방법  
강북케타민원석  
강원도디스펜서리  
서울마리화나  
  
#부산빙두 https://t.co/MSuOrOvlaK",0,0,85.0,['부산빙두'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYalNlaMAYLIvN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYalNlaMAYLIvN?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 09:41:03+00:00,1641012586840985600,jojon8150,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

☺ 아이스픽2 ☣
샘플 20만 아이스작대기

삥두 아이스게이 아이스효능직빵
반작대기

떨사는곳 캔디 파티약
 떨구매 최음제

작대기팝니다 샘플20만 작대기
케타민 아이스

#아이스 https://t.co/cNwK4Dc3aj",0,0,15.0,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYMPETaEAIQuVo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYMPETaEAIQuVo?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 08:39:07+00:00,1640996998634704897,Khalelpasion,,"● ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
옥시코돈파는곳  
강동펜타닐  
강북삥두  
콕하는방법  
강남짝대기  
북한산빙두  
  
#최음제 https://t.co/92m1PE2ce4",0,0,58.0,['최음제'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsX-DhbaAAAn8WU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsX-DhbaAAAn8WU?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 07:54:15+00:00,1640985709065510912,hairjej,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

☯ 아이스픽2 ♠
샘플 20만 아이스작대기

브액판매처 삥두 빙두판매처
김치

떨삽니다 대마 인디카
 캔디 떨후기

케이 아이스사끼 케이
아이스술 아이스사끼

#떨팝니다 https://t.co/HBWGG67v5M",0,0,4.0,['떨팝니다'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsXzylKaYAAg5_p?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsXzylKaYAAg5_p?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 07:03:29+00:00,1640972932599140352,kasamhajurko20,,"☆ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충청도파퍼  
대구엑스터시  
각성제  
창원버드  
삥두  
수원좌표딜러모집  
  
#Molly https://t.co/TddXCZK2M4",0,0,88.0,['Molly'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsXoKjSaMAIMJpD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsXoKjSaMAIMJpD?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 06:07:48+00:00,1640958919257526273,na717na,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

✏ 아이스픽2 ☎
샘플 20만 아이스작대기

울산아이스 아이스게이 삥두
빙두팜

대마 엑시 엑스터시
 떨파는곳 떨삽니다

사끼 작대기술 아이스드랍
작대기술 아이스

#아이스 https://t.co/0BCvjYpBg4",0,0,135.0,['아이스'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1640958899972104193/pu/img/NsFIoxi8D4XauEct.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1640958899972104193/pu/pl/bF9ajY1Asn3ZMgSU.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1640958899972104193/pu/vid/432x432/mTLHuqdSCTjVyQif.mp4?tag=12', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1640958899972104193/pu/vid/320x320/9fyYuNhPOcDIvlqg.mp4?tag=12', contentType='video/mp4', bitrate=432000)], duration=1.233, views=43, altText=None)]",Twitter Web App
2023-03-29 05:57:19+00:00,1640956280297889793,razaumair63,,"♡ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
엘에스디사는방법  
각성제  
정글주스  
강남러쉬  
삥두  
전국즉시좌표  
  
#강동드라퍼 https://t.co/NBFR5KP8Yq",0,0,34.0,['강동드라퍼'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsXY-v5akAAuIZB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsXY-v5akAAuIZB?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 05:34:10+00:00,1640950456351600640,miming18ko,,"♥ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
전남전문딜러  
케타민  
LSD  
케이원석  
환각제  
진통제하는법  
  
#환각제구입방법  
v",0,0,11.0,['환각제구입방법'],,Twitter Web App
2023-03-29 05:20:20+00:00,1640946971648065539,tonguehal,,"▷ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
강동히로뽕  
drug  
북한산빙두구입하는법  
러쉬  
뽕구매처  
수면제팔아요  
  
#강원도옥시코돈 https://t.co/ncsBYXi2Yu",0,0,18.0,['강원도옥시코돈'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsXQjNSaMAEgVPi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsXQjNSaMAEgVPi?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 04:28:15+00:00,1640933864544796673,gimjinhyeon17,,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

사끼파는곳 울산아이스 삥두

최음제 떨구입 엑시

엘에디 LSD 작대기술

#떨판매
#빙두 https://t.co/g5ikMUSgjc",0,0,36.0,"['떨판매', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsXEo-1aAAE3vlk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsXEo-1aAAE3vlk?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 03:42:20+00:00,1640922311913254912,greeneckdeepday,,"♥ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충청도GHB  
뽕  
뽕가격  
전남삥두  
광주삥두  
전라도해시시  
  
#강남weed https://t.co/wWT0USX1Dm",0,0,40.0,['강남weed'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsW6Ge9acAAztfD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsW6Ge9acAAztfD?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 00:57:25+00:00,1640880807282884608,MarionKarimu,,"♥ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
코데인  
원석케타민  
삥두  
충남weed  
북한산아이스  
경상도케미컬약  
  
#인천머쉬룸 https://t.co/S9vqMtz3pd",0,0,42.0,['인천머쉬룸'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsWUYLsacAEsk6y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsWUYLsacAEsk6y?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 22:08:30+00:00,1640838297420460032,asj1118,,"✍ #아이스1g  ✍
♈ 아이스작대기  ♠

여러분에 안식처 하이븐

☀텔 레 문 의 i c e haven ✎

삥두 술의효능 부부만남
작대기효능 샤부

떨판매 떨구매 클럽파티
 인디카 떨판매

작대기팝니다 케이 빙두
작대기아이스 작대기술 https://t.co/JC82yHxN8f",0,0,11.0,['아이스1g'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsVtuGtaMAEYbcq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsVtuGtaMAEYbcq?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 21:42:00+00:00,1640831630486155265,cellee55,,"♥ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
몰리구매방법  
고농축  
대구엑스터시  
경상도삥두  
몰리  
강남황술  
  
#강동케미컬약 https://t.co/57MRmiZ1ks",0,0,43.0,['강동케미컬약'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsVnpLlaEAAkCTA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsVnpLlaEAAkCTA?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 21:19:23+00:00,1640825937251147776,chelsaplot,,"♠ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
강서인슐린  
삥두판매  
창원허브  
밀크케이사는법  
전남빙두  
원석케이  
  
#스페셜케타민사는방법  
v",0,0,9.0,['스페셜케타민사는방법'],,Twitter Web App
2023-03-28 20:46:33+00:00,1640817674593898501,KakkOao,,"♡ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
코카인  
충청도마약  
사끼도매  
케타민원석  
대마  
강원도뽕아이스  
  
#작대기아이스판매  
v",0,0,10.0,['작대기아이스판매'],,Twitter Web App
