Unnamed: 0,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
106,2023-03-30 00:34:00+00:00,1.64124e+18,CYSD0621,CY,,,"✈ 텔 레 그 램 J R i c e 1 ☢

♨아이스작대기 사끼☁

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

전국떨차가운술파는곳

떨파는곳 떨구매 
케타민

샘플20만 케이 아이스뽕 

#아이스작대기
#아이스술 https://t.co/svE4uUX4Jo",0,0,20.0,"['아이스작대기', '아이스술']","[Photo(previewUrl='https://pbs.twimg.com/media/FsbYnQSacAEpKQ8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbYnQSacAEpKQ8?format=jpg&name=orig', altText=None)]",Twitter Web App
107,2023-03-30 00:02:21+00:00,1.64123e+18,ykj6530000,lee Tcooooow,,,"✐ 텔 레 그 램 J R i c e 1 ☺

♦아이스작대기 무한♠

일산아이스 필로폰파는곳 클럽캔디
아이스뽕 엘에디 차가운술 차가운술

최음제 떨구입 최음제 

 인디카 떨팝니다 

 아이스드랍 아이스거래방법 아이스사끼

인천아이스 사탕  캔디판매처 담배 

#아이스 https://t.co/3ZTCZiNOSN",0,0,58.0,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsbRXr9aYAIEQmr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbRXr9aYAIEQmr?format=jpg&name=orig', altText=None)]",Twitter Web App
108,2023-03-29 23:54:40+00:00,1.64123e+18,eo_junsu,ㅂ,,,"여러분에 안식처 아이스 하이븐 

✉텔 레 문 의 i c e haven ☠

아이스퀄리티 작대기사용법 아이스효능직빵

떨팝니다 떨구입 떨가격
파티약 강남파티

케타민 엘에디 케이
아이스 사끼

#아이스작대기 https://t.co/0k14bp1IEJ",0,0,38.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsbPnNMaEAA9ahZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbPnNMaEAA9ahZ?format=jpg&name=orig', altText=None)]",Twitter Web App
109,2023-03-29 23:39:50+00:00,1.64122e+18,baeshong,배성윤,,일산,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

☺ 아이스픽2 ♦
샘플 20만 아이스작대기

후리하는방법 아이스작대기 부부만남
샤부

케이 담배 떨파는곳
 떨사는곳 엑시

샘플20만 아이스사끼 아이스팝니다
작대기뽕 허브

#작대기 https://t.co/qNy5GvBOg4",0,0,60.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsbMN8UakAEhipS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbMN8UakAEhipS?format=jpg&name=orig', altText=None)]",Twitter Web App
110,2023-03-29 23:00:22+00:00,1.64121e+18,gg8644,란,,글쎄.,"♦ 국가대표 coreaice ☁

☣ 아이스작대기 ☎

♣ 코카인 ↔

대마초파는곳 강간데이트 아이스퀄리티
작대기뽕 엘에디 사끼 사끼

떨후기 떨사는곳 인디카 

 클럽약 떨파는곳 

 아이스팝니다 대마초파는곳 샘플20만

김치 떨  ㅈㄷㄱ팝니다 떨구매 

#아이스작대기
#빙두 https://t.co/FrI6c9QFaM",0,0,40.0,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsbDL8UakAEVfWA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbDL8UakAEVfWA?format=jpg&name=orig', altText=None)]",Twitter Web App
111,2023-03-29 22:51:16+00:00,1.64121e+18,sentinamoo,banana namoo,,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

☎ 아이스픽2 ☂
샘플 20만 아이스작대기

제주아이스 정품아이스파는곳 한작대기
인슐린주사기

떨 떨후기 떨사는곳
 최음제 캔디

작대기뽕 작대기 사끼
LSD 사끼

#아이스 https://t.co/SGam50kaXE",0,0,40.0,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsbBGgZaAAAYjQi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbBGgZaAAAYjQi?format=jpg&name=orig', altText=None)]",Twitter Web App
112,2023-03-29 21:52:05+00:00,1.6412e+18,LlZEDWsGgCYaVaj,w.beartae⁷,,,"☃ 텔 레 그 램 J R i c e 1 ☀

☎아이스작대기 무한☂

아이스작대기 ㅈㄷㄱㅇㄹ 작대기구매는
아이스드랍 아이스술 아이스사끼 아이스작대기

강남파티 떨판매 떨후기 

 케이 떨파는곳 

 샘플20만 판매처 아이스작대기

작대기효능 떨구매  작대기사용법 담배 

#작대기 https://t.co/1sjHNZDM40",0,0,1.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsazjjcaQAA4i5k?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsazjjcaQAA4i5k?format=jpg&name=orig', altText=None)]",Twitter Web App
113,2023-03-29 21:37:48+00:00,1.64119e+18,photoarg,안명수,,서울,"여러분에 안식처 아이스 하이븐 

☣텔 레 문 의 i c e haven ✂

인잭하는법 아이스작대기 사끼파는곳

파티약 떨삽니다 떨팝니다
떨느낌 떨구매

케이 아이스뽕 아이스1G
아이스술 아이스드랍

#아이스작대기 https://t.co/ZxZKaXiujG",0,0,13.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsawSLtaIAAZI7D?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsawSLtaIAAZI7D?format=jpg&name=orig', altText=None)]",Twitter Web App
114,2023-03-29 21:32:01+00:00,1.64119e+18,kshp2,환이,,,"✏ 텔 레 그 램 J R i c e 1 ♣

☁아이스작대기 사끼☢

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

전국빠른구매아이스거래방법

떨파는곳 떨후기 
인디카

엘에디 아이스작대기 작대기 

#작대기 https://t.co/h7k9tQhvPG",0,0,16.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fsau9iaaAAEis9D?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsau9iaaAAEis9D?format=jpg&name=orig', altText=None)]",Twitter Web App
115,2023-03-29 21:01:49+00:00,1.64118e+18,UTagmin,탁민우,,,"☺텔레 KRBW24✂

사기 걱정 NO ☎
안전한 거래 ✂

 ☢ 정량 샘플 부터 주문주세요 ☝

작대기 아이스 캔디 케이

떨 떨액 액상 허브액상

대마초 대마 떨 허브 

시원한술 차가운술 빙두

아이스작대기

아이스술 작대기술 사끼

#강남파티
#사끼 https://t.co/4PbQ8qFSAk",0,0,27.0,"['강남파티', '사끼']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641183885819265024/pu/img/DHS_o81edIMJouBw.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641183885819265024/pu/vid/244x432/8u_VSMJygojqmb0L.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641183885819265024/pu/pl/s70fWCXa3MRftXoR.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=0.719, views=1, altText=None)]",Twitter Web App
