type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel,Unnamed: 0
아편,트라마돌,2023-02-22 17:27:43+00:00,1.62845e+18,syafirah07,Nurul Safirah,,,텔레채널 pinkman114 마취제하는법 강남안전좌표 랏슈 울산트라마돌 전남대마 서울엘에스디 떨액상 경기도캔디 얼음팔아요 ,0,0,60.0,['얼음팔아요'],"[Photo(previewUrl='https://pbs.twimg.com/media/FplnZbaakAEIvMx?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FplnZbaakAEIvMx?format=jpg&name=orig', altText=None)]",Twitter Web App,212.0
아편,신의눈물,2023-02-22 19:15:02+00:00,1.62847e+18,syafirah07,Nurul Safirah,,,텔레 문의 pinkman1140 마리화나 차가운술구매처 파티마약상선 총알좌표 강남합성대마초 경기도스페셜케타민 강북케타민밀크 히로뽕사는방법 신의눈물 ,0,0,29.0,['신의눈물'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fpl_5yRaMAAgR-j?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fpl_5yRaMAAgR-j?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,스틸녹스,2023-02-23 00:20:38+00:00,1.62855e+18,nazaralsady,na,,,채널보러가기 텔레 검색 pinkman1140 도리도리하는법 세종액상떨 모르핀 인천스틸녹스 대전원석케이 펜타닐효과 환각제구입하는법 에더블상선 충청도케타민밀크 ,0,0,150.0,['충청도케타민밀크'],"[Photo(previewUrl='https://pbs.twimg.com/media/FpnF55kakAE6p5D?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FpnF55kakAE6p5D?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,트라마돌,2023-02-23 00:56:05+00:00,1.62856e+18,wawanajja18,Bunda Radja,,,pinkman114 텔레 핑크맨 24시간 상담 충북옥시코돈 마리화나상선 전국환각제 액상떨판매처 신의눈물가격 얼음 트라마돌판매 스페셜케타민상선 서울케이 ,0,0,54.0,['서울케이'],"[Photo(previewUrl='https://pbs.twimg.com/media/FpnN9aAakAEBB2l?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FpnN9aAakAEBB2l?format=jpg&name=orig', altText=None)]",Twitter Web App,211.0
아편,옥시코돈,2023-02-23 00:56:05+00:00,1.62856e+18,wawanajja18,Bunda Radja,,,pinkman114 텔레 핑크맨 24시간 상담 충북옥시코돈 마리화나상선 전국환각제 액상떨판매처 신의눈물가격 얼음 트라마돌판매 스페셜케타민상선 서울케이 ,0,0,54.0,['서울케이'],"[Photo(previewUrl='https://pbs.twimg.com/media/FpnN9aAakAEBB2l?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FpnN9aAakAEBB2l?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,신의눈물,2023-02-23 00:56:05+00:00,1.62856e+18,wawanajja18,Bunda Radja,,,pinkman114 텔레 핑크맨 24시간 상담 충북옥시코돈 마리화나상선 전국환각제 액상떨판매처 신의눈물가격 얼음 트라마돌판매 스페셜케타민상선 서울케이 ,0,0,54.0,['서울케이'],"[Photo(previewUrl='https://pbs.twimg.com/media/FpnN9aAakAEBB2l?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FpnN9aAakAEBB2l?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,에토미데이트,2023-02-23 01:56:30+00:00,1.62857e+18,gonam111,고남률,,대한민국 서울,깔끔 텔레 Eorlf420 에토미데이트 서울 강북 직거래 ,0,0,175.0,['강북'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fpnb3KHagAIIyo2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fpnb3KHagAIIyo2?format=jpg&name=orig', altText=None)]",Twitter for Android,
아편,스틸녹스,2023-02-23 16:44:49+00:00,1.6288e+18,nazaralsady,na,,,상담텔레 pinkman 114 후기인증텔레 pinkman 1140 울산진통제 광주안전드랍 스틸녹스사는방법 수원모르핀 충청도합성대마초 필로폰구입 광주버드 ,0,0,81.0,['광주버드'],"[Photo(previewUrl='https://pbs.twimg.com/media/FpqnI1CacAADFGw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FpqnI1CacAADFGw?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,옥시코돈,2023-02-24 11:43:08+00:00,1.62908e+18,MeravelRamos,엑케이원석도매 울산졸피뎀 마리화나(대구스페셜케타민),,,텔레: pink man 114 차가운술도매 전북옥시코돈 수원크리스탈 용인얼음술 강북필로폰 클럽마약 대마 ,0,0,338.0,['대마'],"[Photo(previewUrl='https://pbs.twimg.com/media/FpursdtaMAEDZ5W?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FpursdtaMAEDZ5W?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,졸피뎀,2023-02-24 13:08:26+00:00,1.62911e+18,kiarabosnath,고퀄아이스효과 대구얼음 합성떨구입하는법(보안좌표),,,텔레: pink man 114 전국아이스뽕 경북몰리 강북디스펜서리 대마액상구매하는법 졸피뎀 광주원석케이 전국안전업체 ,0,0,182.0,['전국안전업체'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fpu_NHOaAAIzYzQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fpu_NHOaAAIzYzQ?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,옥시코돈,2023-02-24 14:04:06+00:00,1.62912e+18,hafifahhafizah,고기팔아요 경기도몰리 코카인판매처(캔디),,,텔레: pink man 114 강북안전드랍 전북드랍퍼구인 부산에더블 고기구입하는방법 옥시코돈 합성대마초구매방법 케타민밀크구하는법 ,0,0,104.0,['케타민밀크구하는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FpvL-CDaIAA4auf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FpvL-CDaIAA4auf?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,졸피뎀,2023-02-24 17:19:11+00:00,1.62917e+18,MeravelRamos,엑케이원석도매 울산졸피뎀 마리화나(대구스페셜케타민),,,텔레: pink man 114 엘에스디 강동발정제 drug사는방법 졸피뎀 원석케이 엑시터시효과 weed ,0,0,129.0,['weed'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fpv4np-aQAE_k2m?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fpv4np-aQAE_k2m?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,트라마돌,2023-02-24 17:49:29+00:00,1.62918e+18,hafifahhafizah,고기팔아요 경기도몰리 코카인판매처(캔디),,,텔레: pink man 114 도리도리 스틸녹스 창원아이스뽕 하이드로몰핀사는법 합성대마초 충북트라마돌 충남안전업체 ,0,0,121.0,['충남안전업체'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fpv_jDOaIAAjPRQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fpv_jDOaIAAjPRQ?format=jpg&name=orig', altText=None)]",Twitter Web App,210.0
아편,스틸녹스,2023-02-24 17:49:29+00:00,1.62918e+18,hafifahhafizah,고기팔아요 경기도몰리 코카인판매처(캔디),,,텔레: pink man 114 도리도리 스틸녹스 창원아이스뽕 하이드로몰핀사는법 합성대마초 충북트라마돌 충남안전업체 ,0,0,121.0,['충남안전업체'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fpv_jDOaIAAjPRQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fpv_jDOaIAAjPRQ?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,신의눈물,2023-02-25 11:28:37+00:00,1.62944e+18,lcuambot,lloyd cuambot,,,전남엑시터시 : pinkman114 댑 물뽕판매 마취제구매처 수원케이 서울신의눈물 강서weed ,0,0,29.0,['전남엑시터시'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fpzx9xgagAAVkJB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fpzx9xgagAAVkJB?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,트라마돌,2023-02-25 13:28:26+00:00,1.62947e+18,warbudfamily2,WARBUDFAMS,,,강서좌표딜러구함 : pinkman114 강남인증업자 강북즉시좌표 트라마돌 s케타민사는방법 대구패치 액떨사는곳 ,0,0,16.0,['강서좌표딜러구함'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp0NYBoaAAA24LL?format=png&name=small', fullUrl='https://pbs.twimg.com/media/Fp0NYBoaAAA24LL?format=png&name=orig', altText=None)]",Twitter Web App,209.0
아편,스틸녹스,2023-02-25 14:17:07+00:00,1.62949e+18,megadeath123,Cunt face,,,수원마약 : pinkman114 스페셜케타민사는법 스틸녹스 디스펜서리 강동보안드랍 인슐린팔아요 인천얼음 ,0,0,64.0,['수원마약'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp0YhWdaIAApAUf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp0YhWdaIAApAUf?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,트라마돌,2023-02-25 15:50:38+00:00,1.62951e+18,userpc456,userpc456,,,뽕아이스구하는법 : pinkman114 전북환각제 케이원석판매합니다 물뽕효과 트라마돌하는법 발정제 코데인구매방법 ,0,0,32.0,['뽕아이스구하는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp0t8GGaEAEjwLy?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp0t8GGaEAEjwLy?format=jpg&name=orig', altText=None)]",Twitter Web App,208.0
아편,트라마돌,2023-02-26 22:36:57+00:00,1.62997e+18,linamarriegee,충북진통제브수원충남밀크케이 포도허브 하이드로몰핀(합성대마하는방법),,,telegram: pinkman 114 케이원석 대전북한산빙두 창원트라마돌 강남찬술 스페셜케타민도매 드러그판매합니다 허브구입하는방법 ,0,0,146.0,['허브구입하는방법'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp7Uhz3aUAEYdc7?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp7Uhz3aUAEYdc7?format=jpg&name=orig', altText=None)]",Twitter Web App,207.0
아편,졸피뎀,2023-02-27 02:15:28+00:00,1.63003e+18,yongjin19650917,정경인,,,duD 안산 졸피뎀 술 환각 tele 예약 경북 군위 baekmama,0,0,195.0,['안산'],,Twitter Web App,
아편,스틸녹스,2023-02-27 02:54:42+00:00,1.63004e+18,yongjin19650917,정경인,,,HDG . . 인천 스틸녹스 팝니다 부산 부산진 tele 문의 baekmama,0,0,161.0,['인천'],,Twitter Web App,
아편,졸피뎀,2023-02-27 03:31:55+00:00,1.63005e+18,yongjin19650917,정경인,,,Trb . . 수면제 졸피뎀 처방 없이 구매 서울 중랑 tele 문의 baekmama,0,0,98.0,['수면제'],,Twitter Web App,
아편,스틸녹스,2023-02-27 05:24:40+00:00,1.63008e+18,yongjin19650917,정경인,,,Hfk . . 마포 스틸녹스 술 환각 서울 종로 tele 문의 baekmama,0,0,50.0,['마포'],,Twitter Web App,
아편,스틸녹스,2023-02-27 06:02:15+00:00,1.63009e+18,yongjin19650917,정경인,,,yXb . . 홍대 스틸녹스 가격 경상북도 경북 tele 문의 baekmama,0,0,60.0,['홍대'],,Twitter Web App,
