type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
LSD,엘에스디,2023-03-23 14:21:05+00:00,1.63891E+18,HotdogNiKennan,Kennan Mandanas,,,"○ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
경상도드라퍼구인  
전남안전딜러  
스틸녹스  
엘에스디가격  
강원도케미컬약  
랏슈  
#하이드로몰핀효과 https://t.co/f5blLSz5qJ",0,0,142,['하이드로몰핀효과'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr6SxqGakAAnUu5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr6SxqGakAAnUu5?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-23 16:48:49+00:00,1.63895E+18,AHMEDSMN646,احمدةمحمد,,,"♧ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
충북합성떨  
캔디효과  
엘에스디구매방법  
드랍퍼모집  
전남안전드랍  
전라도드라퍼모집  
#포도허브팔아요 https://t.co/UtYmb3Dp1v",0,0,11,['포도허브팔아요'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr60lRxagAAWdqX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr60lRxagAAWdqX?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-23 17:13:49+00:00,1.63895E+18,fandithokk,H N D,,,"★ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
전북엘에스디  
발정제  
엑스터시  
얼음술  
전남펜타닐  
밀크케타민효과  
#원석케이팔아요 https://t.co/JmJtBcb8Jq",0,0,69,['원석케이팔아요'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr66UGXaQAApM7L?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr66UGXaQAApM7L?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-23 17:43:12+00:00,1.63896E+18,mese198405,كاظم سعدون,,,"☏ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
광주우유주사  
드랍퍼구인  
대마초  
수면제구하는곳  
서울엘에스디  
경남도리도리  
#아이스후기  
v",0,0,63,['아이스후기'],,Twitter Web App
LSD,엘에스디,2023-03-23 20:55:34+00:00,1.63901E+18,rpgpushpagupya,pushpa gupta,,,"♠ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
합성대마파는곳  
삥두판매합니다  
전라도포도허브  
전국안전딜러  
충남엘에스디  
케미컬약  
#정글주스 https://t.co/HSJs4t06Qg",0,0,17,['정글주스'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7tEHqaMAEqzP2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7tEHqaMAEqzP2?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 01:42:03+00:00,1.63908E+18,felda4sa,Sam,,,"☆ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
강서사끼  
즉시좌표  
창원졸피뎀  
도리도리  
엘에스디  
파티drug  
#인슐린 https://t.co/mtpXf7FynX",0,0,24,['인슐린'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr8upX5aQAA6_t3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr8upX5aQAA6_t3?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 01:56:21+00:00,1.63908E+18,lubnafaisal1,lubnafaisal,,,"◈ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
우유주사  
엘에스디효과  
작대기술하는법  
발정제  
뽕도매  
필로폰구하는곳  
#경기도케이밀크 https://t.co/8S4mMET8FV",0,0,17,['경기도케이밀크'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr8x60lakAAs7Gn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr8x60lakAAs7Gn?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 03:34:06+00:00,1.63911E+18,fandithokk,H N D,,,"♥ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
랏슈  
용인엘에스디  
액상떨  
환각제파는곳  
드러그상선  
광주랏슈  
#아이스판매 https://t.co/LjZtZaIWqw",0,0,41,['아이스판매'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr9ISkJaYAAx0Ql?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr9ISkJaYAAx0Ql?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 03:35:36+00:00,1.63911E+18,beaudinkenda,beaudinkenda,,,"★ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
엑스터시판매합니다  
크리스탈  
패치  
케이  
옥시코돈후기  
엘에스디  
#충청도환각제 https://t.co/L0Uev2f9lA",0,0,8,['충청도환각제'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr9IoWTaIAANv6H?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr9IoWTaIAANv6H?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 06:48:31+00:00,1.63916E+18,jackiepugh4,jackiepugh,,,"▷ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
엘에스디  
엑스터시하는법  
전라도드랍퍼모집  
물뽕사는방법  
포도허브구매방법  
조인트구하는법  
#아이스 https://t.co/FmsGkWkJ73",0,0,26,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr90xleaYAABznF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr90xleaYAABznF?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 06:51:26+00:00,1.63916E+18,phultastk,phultastk,,,"★ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
경상도하선구함  
환각버섯구입하는법  
울산조인트  
엑스터시구입방법  
인증딜러  
엘에스디가격  
#케이밀크도매 https://t.co/CSX3aTlGQ2",0,0,52,['케이밀크도매'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr91dX_aYAAgQ3O?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr91dX_aYAAgQ3O?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 08:59:37+00:00,1.63919E+18,suzyq11167,SuzyQ,,,"★ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
광주코카인  
창원케타민밀크  
환각제구매  
엘에스디구입하는법  
허브  
엘에스디파는곳  
#밀크케타민구매 https://t.co/kSCZJDjLKD",0,0,62,['밀크케타민구매'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr-Sy5AaMAU6s3u?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr-Sy5AaMAU6s3u?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 10:31:41+00:00,1.63921E+18,missroyal14,missroyal,,,"☆ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
스페셜케타민구매하는법  
경상도허브  
엘에스디  
진통제구하는곳  
용인황술  
하선구함  
#얼음술 https://t.co/p6vjxqMj7v",0,0,36,['얼음술'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr-n3nuaAAEiHE_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr-n3nuaAAEiHE_?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 11:10:20+00:00,1.63922E+18,masoletapiwa,Tapiwa Martha,,,"☆ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
울산안전업체  
전북하이드로몰핀  
신속드랍  
엘에스디사는방법  
수원LSD  
액떨팝니다  
#수면제 https://t.co/Y3rNciQLb3",0,0,117,['수면제'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr-wtc3akAIJFKm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr-wtc3akAIJFKm?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 11:43:11+00:00,1.63923E+18,Annabelstarbaby, Annabel Grace ,,,"☞ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
경기도엑시터시  
머쉬룸  
엘에스디  
섹스마약  
수원발정제  
합성떨상선  
#경남케이원석 https://t.co/vMwT0UltYs",0,0,80,['경남케이원석'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr-4ORZaEAAnOKl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr-4ORZaEAAnOKl?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-24 13:38:33+00:00,1.63926E+18,hoothowland,hoothowland,,,"♥ 최상퀄리티자부 텔레아디 - p i n k m a n 1 1 4 
부산케타민원석  
엑시터시구하는곳  
섹스마약사는곳  
찬술판매처  
경기도짝대기  
작대기아이스도매  
#엘에스디 https://t.co/cAVTz4mHbf",0,0,113,['엘에스디'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fr_So_aWwAIeAbN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr_So_aWwAIeAbN?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-28 10:36:07+00:00,1.64066E+18,kred5510,댑구매방법 조인트구매 용인합성떨(수원히로뽕),,,"▶ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
#경기도드라퍼구인  
작대기아이스  
수면보조제  
북한산빙두  
엘에스디후기  
대구즉시좌표  
대마구매하는법 https://t.co/xf6k9EgZ3C",0,0,34,['경기도드라퍼구인'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsTPNjlaQAEN1Vg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsTPNjlaQAEN1Vg?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-28 11:58:49+00:00,1.64068E+18,oyeyemioyelekan,수원MD케미컬약구입하는방법 광주원석케타민 드랍(강원도캔디),,,"♧ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
#전국배송  
충북크리스탈  
대전펜타닐  
작대기  
엘에스디구입  
대전안전업체  
마취제 https://t.co/opiaWadmnn",0,0,50,['전국배송'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsTiK-_akAElHtI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsTiK-_akAElHtI?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-28 20:11:14+00:00,1.64081E+18,redddyhood,트라바라시 스발정제 성남아이스 강남고퀄아이스(섹스마약),,,"♧ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
떨판매처  
드러그사는방법  
엘에스디  
밀크케타민후기  
포도허브판매합니다  
하이드로몰핀사는곳  
  
#모르핀 https://t.co/RiJmjC4eFn",0,0,18,['모르핀'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsVS2ysaAAczwSI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsVS2ysaAAczwSI?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-28 21:14:42+00:00,1.64082E+18,cathywadas188,디스펜서대전케타민원석 s케타민 캔디(경상도원석케타민),,,"♥ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
강원도엘에스디  
대마초  
인천파퍼  
전북weed  
환각파티  
마취제  
  
#버드구입하는법 https://t.co/euhDyzGk6Z",0,0,27,['버드구입하는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsVhZ0kagAAYveL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsVhZ0kagAAYveL?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-28 22:30:57+00:00,1.64084E+18,idduftf,러쉬구입하는방법 수원하선모집 Molly(모르핀),,,"☎ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
서울에더블  
딜러  
전라도마리화나  
사탕  
대마초구입하는방법  
트라마돌  
  
#서울찬술  
v",0,0,19,['서울찬술'],,Twitter Web App
LSD,엘에스디,2023-03-28 23:11:05+00:00,1.64085E+18,janeoinezatq,합성대마초구입 인천도리도리 서울LSD(밀크케타민),,,"♡ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
경남작대기술  
경북GHB  
황술  
아이스뽕  
떨구매하는법  
케타민원석구입  
  
#진통제 https://t.co/I7oi4fNkLx",0,0,19,['진통제'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsV8B4KacAA9o8i?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsV8B4KacAA9o8i?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-03-29 00:41:25+00:00,1.64088E+18,hajwjeh,경상도하선구함 아이스뽕 인천드랍퍼모집(대마초하는법),,,"★ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
빙두  
충북엘에스디  
대마초  
케미컬  
작대기술구하는곳  
빙두구하는곳  
  
#바라시  
v",0,0,50,['바라시'],,Twitter Web App
LSD,엘에스디,2023-03-29 01:08:34+00:00,1.64088E+18,wasishah51214,성남하선모집 액상대마 합성대마구매처(하선구함),,,"◈ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
떨사는방법  
북한산술  
포도허브판매합니다  
엘에스디  
강서히로뽕  
강남하선구함  
  
#경남환각제 https://t.co/HuzCLjjv7R",0,0,24,['경남환각제'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsWW4yoaUAAtqqN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsWW4yoaUAAtqqN?format=jpg&name=orig', altText=None)]",Twitter Web App
